player_id,name,role,dimension,top_drivers
230020,A. Iwobi,Midfielder,finishing,shot_blocked x4 (+0.0)
230020,A. Iwobi,Midfielder,goal_protection,own_box_clearance x1 (+1.0)
230020,A. Iwobi,Midfielder,progression,pass_into_box x3 (+12.0); final_third_entry x4 (+12.0); forward_pass_small x15 (+2.2)
230020,A. Iwobi,Midfielder,recovery,interception x2 (+6.0); def_duel_lost x1 (-0.5)
230020,A. Iwobi,Midfielder,retention,lost_ball x4 (-4.0); accurate_pass x20 (+2.0); att_duel_lost x3 (-1.5)
99381,A. J\u0119drzejczyk,Defender,chance_creation,key_pass x1 (+4.0); pass_into_box x2 (+3.0); accurate_cross x1 (+1.0)
99381,A. J\u0119drzejczyk,Defender,defensive_disruption,clearance x1 (+1.5)
99381,A. J\u0119drzejczyk,Defender,progression,final_third_entry x3 (+9.0); pass_into_box x2 (+8.0); line_breaking x1 (+3.0)
99381,A. J\u0119drzejczyk,Defender,recovery,interception x2 (+6.0); def_duel_lost x5 (-2.5); def_duel_won x1 (+2.0)
99381,A. J\u0119drzejczyk,Defender,retention,lost_ball x7 (-7.0); accurate_pass x31 (+3.1)
79381,A. Jahanbakhsh,Forward,chance_creation,pass_into_box x2 (+3.0)
79381,A. Jahanbakhsh,Forward,defensive_disruption,clearance x2 (+3.0); sliding_tackle_won x1 (+2.5)
79381,A. Jahanbakhsh,Forward,finishing,shot_on_target x1 (+2.0)
79381,A. Jahanbakhsh,Forward,progression,pass_into_box x2 (+8.0); final_third_entry x1 (+3.0); line_breaking x1 (+3.0)
79381,A. Jahanbakhsh,Forward,recovery,interception x7 (+21.0); def_duel_won x3 (+6.0); def_duel_lost x10 (-5.0)
79381,A. Jahanbakhsh,Forward,retention,lost_ball x15 (-15.0); accurate_pass x28 (+2.8); att_duel_lost x2 (-1.0)
79381,A. Jahanbakhsh,Forward,transition,counter_action x4 (+8.0)
261127,A. Januzaj,Midfielder,chance_creation,accurate_cross x1 (+1.0)
261127,A. Januzaj,Midfielder,defensive_disruption,clearance x1 (+1.5)
261127,A. Januzaj,Midfielder,finishing,goal x1 (+8.0); shot_blocked x3 (+0.0)
261127,A. Januzaj,Midfielder,progression,final_third_entry x1 (+3.0); line_breaking x1 (+3.0); failed_progressive x2 (-0.8)
261127,A. Januzaj,Midfielder,recovery,interception x1 (+3.0); def_duel_won x1 (+2.0); def_duel_lost x3 (-1.5)
261127,A. Januzaj,Midfielder,retention,lost_ball x5 (-5.0); att_duel_lost x5 (-2.5); accurate_pass x13 (+1.3)
293128,A. Khalil,Midfielder,progression,forward_pass_small x3 (+0.4)
293128,A. Khalil,Midfielder,recovery,interception x2 (+6.0); def_duel_lost x1 (-0.5)
293128,A. Khalil,Midfielder,retention,accurate_pass x5 (+0.5)
8306,A. Kolarov,Defender,chance_creation,pass_into_box x7 (+10.5); accurate_cross x3 (+3.0)
8306,A. Kolarov,Defender,defensive_disruption,clearance x4 (+6.0)
8306,A. Kolarov,Defender,finishing,shot_off_target x1 (-0.3)
8306,A. Kolarov,Defender,goal_protection,own_box_clearance x4 (+4.0)
8306,A. Kolarov,Defender,progression,pass_into_box x7 (+28.0); final_third_entry x6 (+18.0); forward_pass_small x42 (+6.3)
8306,A. Kolarov,Defender,recovery,interception x16 (+48.0); def_duel_won x3 (+6.0); def_duel_lost x10 (-5.0)
8306,A. Kolarov,Defender,retention,lost_ball x22 (-22.0); accurate_pass x82 (+8.2); att_duel_lost x1 (-0.5)
69411,A. Kramari\u0107,Forward,chance_creation,pass_into_box x5 (+7.5); accurate_cross x4 (+4.0); key_pass x1 (+4.0)
69411,A. Kramari\u0107,Forward,defensive_disruption,clearance x2 (+3.0)
69411,A. Kramari\u0107,Forward,finishing,goal x1 (+8.0); shot_on_target x1 (+2.0); shot_off_target x5 (-1.5)
69411,A. Kramari\u0107,Forward,goal_protection,own_box_clearance x2 (+2.0)
69411,A. Kramari\u0107,Forward,progression,final_third_entry x10 (+30.0); pass_into_box x5 (+20.0); forward_pass_small x48 (+7.2)
69411,A. Kramari\u0107,Forward,recovery,interception x3 (+9.0); def_duel_lost x6 (-3.0); loose_ball_won x3 (+3.0)
69411,A. Kramari\u0107,Forward,retention,lost_ball x25 (-25.0); accurate_pass x113 (+11.3); att_duel_lost x7 (-3.5)
69411,A. Kramari\u0107,Forward,transition,counter_action x11 (+22.0)
20941,A. Ljaji\u0107,Forward,chance_creation,pass_into_box x3 (+4.5); accurate_cross x1 (+1.0)
20941,A. Ljaji\u0107,Forward,finishing,shot_blocked x1 (+0.0)
20941,A. Ljaji\u0107,Forward,progression,pass_into_box x3 (+12.0); final_third_entry x2 (+6.0); forward_pass_small x32 (+4.8)
