coach,team,dimension,top_drivers
Óscar Ramírez,Costa Rica,chance_creation,shot_central_box x9 (+27.0); key_pass x7 (+14.0); shot_wide_box x7 (+10.5)
Óscar Ramírez,Costa Rica,defensive_organisation,interception_own_half x95 (+142.5); shot_conceded_from_box x22 (-77.0); clearance_from_box x42 (+42.0)
Óscar Ramírez,Costa Rica,pressing_structure,duel_won_opp_third x73 (+109.5); duel_won_opp_half x35 (+35.0); interception_opp_half x16 (+32.0)
Óscar Ramírez,Costa Rica,set_pieces,corner_leading_to_shot x4 (+8.0); set_piece_goal x1 (+5.0); corner_taken x11 (+3.3)
Zlatko Dalić,Croatia,buildup_quality,final_third_entry x353 (+706.0); turnover_own_third x180 (-360.0); pass_into_box x82 (+246.0)
Zlatko Dalić,Croatia,chance_creation,shot_central_box x39 (+117.0); key_pass x23 (+46.0); cross_into_box x35 (+35.0)
Zlatko Dalić,Croatia,defensive_organisation,interception_own_half x246 (+369.0); shot_conceded_from_box x52 (-182.0); clearance_from_box x83 (+83.0)
Zlatko Dalić,Croatia,pressing_structure,duel_won_opp_third x206 (+309.0); duel_won_opp_half x100 (+100.0); interception_opp_third x30 (+90.0)
Zlatko Dalić,Croatia,set_pieces,corner_leading_to_shot x12 (+24.0); corner_taken x40 (+12.0); set_piece_goal x2 (+10.0)
Åge Hareide,Denmark,buildup_quality,final_third_entry x167 (+334.0); turnover_own_third x64 (-128.0); pass_into_box x39 (+117.0)
Åge Hareide,Denmark,chance_creation,shot_central_box x13 (+39.0); key_pass x7 (+14.0); shot_wide_box x8 (+12.0)
Åge Hareide,Denmark,defensive_organisation,interception_own_half x153 (+229.5); shot_conceded_from_box x27 (-94.5); clearance_from_box x66 (+66.0)
Åge Hareide,Denmark,pressing_structure,duel_won_opp_third x113 (+169.5); duel_won_opp_half x71 (+71.0); interception_opp_third x14 (+42.0)
Åge Hareide,Denmark,set_pieces,corner_leading_to_shot x5 (+10.0); corner_taken x18 (+5.4); free_kick_shot x2 (+3.0)
Héctor Cúper,Egypt,buildup_quality,final_third_entry x109 (+218.0); turnover_own_third x62 (-124.0); pass_into_box x28 (+84.0)
Héctor Cúper,Egypt,chance_creation,shot_central_box x10 (+30.0); key_pass x5 (+10.0); cross_into_box x9 (+9.0)
Héctor Cúper,Egypt,defensive_organisation,interception_own_half x120 (+180.0); shot_conceded_from_box x19 (-66.5); clearance_from_box x45 (+45.0)
Héctor Cúper,Egypt,pressing_structure,duel_won_opp_third x68 (+102.0); interception_opp_third x18 (+54.0); interception_opp_half x18 (+36.0)
Héctor Cúper,Egypt,set_pieces,corner_leading_to_shot x2 (+4.0); free_kick_cross_in_box x3 (+3.0); corner_taken x6 (+1.8)
Gareth Southgate,England,buildup_quality,final_third_entry x347 (+694.0); pass_into_box x84 (+252.0); turnover_own_third x124 (-248.0)
Gareth Southgate,England,chance_creation,shot_central_box x36 (+108.0); key_pass x21 (+42.0); shot_wide_box x11 (+16.5)
Gareth Southgate,England,defensive_organisation,interception_own_half x229 (+343.5); shot_conceded_from_box x45 (-157.5); shot_conceded x32 (-64.0)
Gareth Southgate,England,pressing_structure,duel_won_opp_third x210 (+315.0); interception_opp_third x35 (+105.0); duel_won_opp_half x86 (+86.0)
Gareth Southgate,England,set_pieces,corner_leading_to_shot x16 (+32.0); set_piece_goal x5 (+25.0); free_kick_cross_in_box x21 (+21.0)
Didier Deschamps,France,buildup_quality,final_third_entry x318 (+636.0); turnover_own_third x129 (-258.0); pass_into_box x68 (+204.0)
Didier Deschamps,France,chance_creation,shot_central_box x25 (+75.0); key_pass x20 (+40.0); shot_wide_box x12 (+18.0)
Didier Deschamps,France,defensive_organisation,interception_own_half x242 (+363.0); shot_conceded_from_box x27 (-94.5); clearance_from_box x85 (+85.0)
Didier Deschamps,France,pressing_structure,duel_won_opp_third x181 (+271.5); duel_won_opp_half x99 (+99.0); interception_opp_third x28 (+84.0)
Didier Deschamps,France,set_pieces,corner_leading_to_shot x6 (+12.0); set_piece_goal x2 (+10.0); free_kick_shot x6 (+9.0)
Joachim Löw,Germany,buildup_quality,final_third_entry x216 (+432.0); pass_into_box x93 (+279.0); line_breaking x25 (+62.5)
Joachim Löw,Germany,chance_creation,shot_central_box x30 (+90.0); key_pass x19 (+38.0); cross_into_box x32 (+32.0)
Joachim Löw,Germany,defensive_organisation,interception_own_half x49 (+73.5); shot_conceded_from_box x13 (-45.5); shot_conceded x14 (-28.0)
Joachim Löw,Germany,pressing_structure,duel_won_opp_third x93 (+139.5); interception_opp_third x27 (+81.0); duel_won_opp_half x32 (+32.0)
Joachim Löw,Germany,set_pieces,corner_leading_to_shot x6 (+12.0); corner_taken x25 (+7.5); set_piece_goal x1 (+5.0)
Heimir Hallgrímsson,Iceland,buildup_quality,final_third_entry x106 (+212.0); turnover_own_third x45 (-90.0); pass_into_box x21 (+63.0)
Heimir Hallgrímsson,Iceland,chance_creation,shot_central_box x14 (+42.0); key_pass x9 (+18.0); shot_wide_box x9 (+13.5)
Heimir Hallgrímsson,Iceland,defensive_organisation,interception_own_half x109 (+163.5); shot_conceded_from_box x20 (-70.0); shot_conceded x28 (-56.0)
Heimir Hallgrímsson,Iceland,pressing_structure,duel_won_opp_third x72 (+108.0); duel_won_opp_half x45 (+45.0); interception_opp_third x14 (+42.0)
Heimir Hallgrímsson,Iceland,set_pieces,corner_leading_to_shot x6 (+12.0); corner_taken x17 (+5.1); free_kick_shot x2 (+3.0)
Carlos Queiroz,Iran,buildup_quality,final_third_entry x67 (+134.0); turnover_own_third x57 (-114.0); pass_into_box x17 (+51.0)
Carlos Queiroz,Iran,chance_creation,shot_central_box x6 (+18.0); cross_into_box x9 (+9.0); shot_wide_box x4 (+6.0)
Carlos Queiroz,Iran,defensive_organisation,interception_own_half x114 (+171.0); shot_conceded_from_box x19 (-66.5); clearance_from_box x54 (+54.0)
Carlos Queiroz,Iran,pressing_structure,duel_won_opp_third x61 (+91.5); duel_won_opp_half x37 (+37.0); interception_opp_half x15 (+30.0)
Carlos Queiroz,Iran,set_pieces,free_kick_cross_in_box x5 (+5.0); free_kick_shot x3 (+4.5); corner_leading_to_shot x1 (+2.0)
Akira Nishino,Japan,buildup_quality,final_third_entry x176 (+352.0); turnover_own_third x59 (-118.0); pass_into_box x39 (+117.0)
Akira Nishino,Japan,chance_creation,shot_central_box x17 (+51.0); key_pass x9 (+18.0); shot_wide_box x10 (+15.0)
Akira Nishino,Japan,defensive_organisation,interception_own_half x132 (+198.0); shot_conceded_from_box x36 (-126.0); clearance_from_box x65 (+65.0)
Akira Nishino,Japan,pressing_structure,duel_won_opp_third x89 (+133.5); interception_opp_third x20 (+60.0); duel_won_opp_half x53 (+53.0)
