player_id,name,role,dimension,third,contribution
297957,M. Akanji,Defender,transition,defensive,4.0
297957,M. Akanji,Defender,transition,middle,2.0
69400,M. Badelj,Midfielder,chance_creation,attacking,11.0
69400,M. Badelj,Midfielder,defensive_disruption,defensive,1.5
69400,M. Badelj,Midfielder,defensive_disruption,middle,4.0
69400,M. Badelj,Midfielder,finishing,attacking,8.0
69400,M. Badelj,Midfielder,progression,attacking,8.9
69400,M. Badelj,Midfielder,progression,defensive,0.9
69400,M. Badelj,Midfielder,progression,middle,27.0
69400,M. Badelj,Midfielder,recovery,attacking,-0.5
69400,M. Badelj,Midfielder,recovery,defensive,23.5
69400,M. Badelj,Midfielder,recovery,middle,18.5
69400,M. Badelj,Midfielder,retention,attacking,-2.6
69400,M. Badelj,Midfielder,retention,defensive,-1.5
69400,M. Badelj,Midfielder,retention,middle,0.2
69400,M. Badelj,Midfielder,transition,attacking,2.0
69400,M. Badelj,Midfielder,transition,defensive,2.0
38093,M. Batshuayi,Forward,finishing,attacking,11.4
38093,M. Batshuayi,Forward,progression,attacking,0.3
38093,M. Batshuayi,Forward,progression,middle,0.1
38093,M. Batshuayi,Forward,recovery,attacking,1.0
38093,M. Batshuayi,Forward,recovery,defensive,3.0
38093,M. Batshuayi,Forward,retention,attacking,-4.3
38093,M. Batshuayi,Forward,retention,middle,-0.9
38093,M. Batshuayi,Forward,transition,attacking,2.0
354041,M. Ben Amor,Midfielder,progression,defensive,0.3
354041,M. Ben Amor,Midfielder,recovery,defensive,1.0
354041,M. Ben Amor,Midfielder,recovery,middle,3.0
354041,M. Ben Amor,Midfielder,retention,defensive,0.5
20579,M. Benatia,Defender,chance_creation,middle,3.0
20579,M. Benatia,Defender,defensive_disruption,defensive,6.0
20579,M. Benatia,Defender,defensive_disruption,middle,4.5
20579,M. Benatia,Defender,finishing,attacking,3.1
20579,M. Benatia,Defender,goal_protection,defensive,4.0
20579,M. Benatia,Defender,progression,attacking,0.6
20579,M. Benatia,Defender,progression,defensive,3.2
